"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","4624","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","4","1","1","2.341428","0","13"
"/Engine/VREditor/TransformGizmo/Main.Main","0","5","1","1","2.961993","0","19"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","6","1","1","3.356363","0","19"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","5","2","1","3.176448","0","17"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","54","15","6","31.440361","5","290"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","17","1","1","13.999369","0","135"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","5","2","1","3.103270","0","17"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","5","1","1","2.651270","0","15"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","6","1","1","2.847584","0","26"
"/Game/StarterContent/Materials/M_Tech_Checker_Dot.M_Tech_Checker_Dot","0","23","1","1","18.093000","0","170"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","44","6","2","32.851566","0","324"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","1","1","2.172814","0","13"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","7","1","1","3.954990","0","25"
"/Game/Rewind/Material/MT_Fresnel.MT_Fresnel","0","40","1","1","35.090233","0","835"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","9","1","1","4.983510","0","53"
"/Game/StarterContent/Materials/M_Glass.M_Glass","0","35","1","1","79.901779","0","607"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","145","1","1","124.554054","0","10101"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","12","1","1","7.929968","0","89"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","5","1","1","3.188707","0","19"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","28","1","1","24.376413","0","422"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","14","1","1","11.612593","0","115"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","0","20","1","1","12.795175","0","223"
"/Game/StarterContent/Materials/M_Tech_Panel.M_Tech_Panel","0","23","1","1","21.220678","0","285"
"/Game/StarterContent/Materials/M_Wood_Oak.M_Wood_Oak","0","23","1","1","21.989046","0","298"
"/Game/StarterContent/Materials/M_Wood_Pine.M_Wood_Pine","0","23","1","1","21.168594","0","298"
"/Game/StarterContent/Materials/M_CobbleStone_Rough.M_CobbleStone_Rough","0","23","1","1","24.085627","0","283"
"/Game/StarterContent/Materials/M_Wood_Walnut.M_Wood_Walnut","0","23","1","1","21.526318","0","290"
"/Game/StarterContent/Materials/M_Rock_Marble_Polished.M_Rock_Marble_Polished","0","23","1","1","22.141418","0","286"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","28","1","1","21.037853","0","410"
"/Game/StarterContent/Particles/Materials/M_Heat_Distortion.M_Heat_Distortion","0","27","1","1","15.421382","0","314"
"/Game/StarterContent/Props/Materials/M_TableRound.M_TableRound","0","23","1","1","21.657007","0","206"
"/Game/StarterContent/Props/Materials/M_StatueGlass.M_StatueGlass","0","35","1","1","86.050987","0","305"
"/Game/StarterContent/Props/Materials/M_Statue.M_Statue","0","23","1","1","20.954103","0","190"
"/Game/StarterContent/Particles/Materials/M_Spark.M_Spark","0","15","1","1","9.810720","0","97"
"/Game/StarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","0","60","1","1","51.404770","0","897"
"/Game/StarterContent/Props/Materials/M_Shelf.M_Shelf","0","23","1","1","21.066422","0","176"
"/Game/StarterContent/Materials/M_Wood_Floor_Walnut_Polished.M_Wood_Floor_Walnut_Polished","0","23","1","1","21.321491","0","171"
"/Game/StarterContent/Materials/M_Water_Lake.M_Water_Lake","0","23","1","1","21.898928","0","202"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile_Pulse.M_Tech_Hex_Tile_Pulse","0","23","1","1","21.026161","0","200"
"/Game/StarterContent/Materials/M_Rock_Slate.M_Rock_Slate","0","23","1","1","21.362740","0","158"
"/Game/StarterContent/Materials/M_Rock_Sandstone.M_Rock_Sandstone","0","23","1","1","21.935795","0","185"
"/Game/StarterContent/Materials/M_Rock_Basalt.M_Rock_Basalt","0","23","1","1","22.201529","0","196"
"/Game/StarterContent/Materials/M_Metal_Steel.M_Metal_Steel","0","23","1","1","22.037758","0","222"
"/Game/StarterContent/Materials/M_Metal_Gold.M_Metal_Gold","0","23","1","1","21.368855","0","208"
"/Game/StarterContent/Materials/M_Metal_Copper.M_Metal_Copper","0","23","1","1","21.684881","0","162"
"/Game/StarterContent/Materials/M_Metal_Chrome.M_Metal_Chrome","0","23","1","1","21.126396","0","179"
"/Game/StarterContent/Materials/M_Metal_Burnished_Steel.M_Metal_Burnished_Steel","0","23","1","1","21.313869","0","176"
"/Game/StarterContent/Materials/M_Metal_Brushed_Nickel.M_Metal_Brushed_Nickel","0","23","1","1","21.328012","0","125"
"/Game/StarterContent/Props/Materials/M_Lamp.M_Lamp","0","23","1","1","20.876068","0","156"
"/Game/StarterContent/Materials/M_Ground_Moss.M_Ground_Moss","0","23","1","1","21.199425","0","161"
"/Game/StarterContent/Materials/M_Ground_Gravel.M_Ground_Gravel","0","23","1","1","20.836248","0","203"
"/Game/StarterContent/Materials/M_Ground_Grass.M_Ground_Grass","0","23","1","1","20.931110","0","137"
"/Game/StarterContent/Props/Materials/M_Frame.M_Frame","0","23","1","1","20.131779","0","285"
"/Game/StarterContent/Particles/Materials/M_Fire_SubUV.M_Fire_SubUV","0","15","1","1","9.999425","0","118"
"/Game/StarterContent/Particles/Materials/M_explosion_subUV.M_explosion_subUV","0","15","1","1","9.240036","0","109"
"/Game/StarterContent/Particles/Materials/M_Dust_Particle.M_Dust_Particle","0","80","1","1","61.611866","0","1190"
"/Game/StarterContent/Props/Materials/M_Door.M_Door","0","23","1","1","21.060543","0","196"
"/Game/StarterContent/Materials/M_Concrete_Tiles.M_Concrete_Tiles","0","23","1","1","20.966602","0","218"
"/Game/StarterContent/Materials/M_Concrete_Poured.M_Concrete_Poured","0","23","1","1","20.953321","0","171"
"/Game/StarterContent/Materials/M_Concrete_Panels.M_Concrete_Panels","0","23","1","1","21.467274","0","159"
"/Game/StarterContent/Materials/M_Concrete_Grime.M_Concrete_Grime","0","23","1","1","21.058022","0","177"
"/Game/StarterContent/Materials/M_CobbleStone_Smooth.M_CobbleStone_Smooth","0","23","1","1","23.909569","0","144"
"/Game/StarterContent/Materials/M_CobbleStone_Pebble.M_CobbleStone_Pebble","0","23","1","1","20.859243","0","226"
"/Game/StarterContent/Props/Materials/M_Chair.M_Chair","0","23","1","1","20.618690","0","174"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","0","90","37","3","64.035011","30","943"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Skybox_Master.M_LightStage_Skybox_Master","0","8","2","2","5.111183","0","26"
"/Game/Characters/Mannequin_UE4/Materials/M_MannequinUE4_Body.M_MannequinUE4_Body","0","108","2","2","76.668991","0","1375"
"/Engine/OpenWorldTemplate/LandscapeMaterial/M_ProcGrid.M_ProcGrid","0","28","2","2","26.369492","0","201"
"/Game/Rewind/Maps/Fire/Materials/M_Lava/M_lava.M_lava","0","48","1","1","78.302872","85","1631"
"/Game/Rewind/Maps/Glacier/Material/Landscape.Landscape","0","90","3","3","87.335442","14","841"
"/Game/Rewind/Character/FireBoss/Elemental/Materials/M_RampageV001_MASTER.M_RampageV001_MASTER","0","126","8","2","252.955475","315","9194"
"/Game/Rewind/Character/Main_Character/FBX/01_-_Default.01_-_Default","0","14","2","1","11.548462","0","116"
"/Game/Rewind/Character/Main_Character/FBX/Fbx_Default_Material.Fbx_Default_Material","0","14","5","1","11.349517","0","104"
"/Game/StarterContent/Materials/M_Basic_Floor.M_Basic_Floor","0","23","1","1","21.606365","0","298"
"/Game/Rewind/Maps/Fire/FBX/IN/01_-_Default.01_-_Default","0","14","2","1","0.000000","0","116"
"/Game/Rewind/Maps/Fire/FBX/Puzzle/02_-_Default.02_-_Default","0","14","1","1","11.580421","0","118"
"/Game/Rewind/Maps/Fire/FBX/IN/02_-_Default.02_-_Default","0","14","1","1","0.000000","0","118"
"/Game/Rewind/Maps/Fire/FBX/IN/03_-_Default.03_-_Default","0","14","1","1","12.092461","0","114"
"/Game/Rewind/Maps/Fire/FBX/Puzzle/07_-_Default.07_-_Default","0","14","1","1","11.884577","0","114"
"/Game/Rewind/Maps/Fire/FBX/Puzzle/08_-_Default.08_-_Default","0","14","8","1","11.925577","0","83"
"/Game/Rewind/Maps/Fire/FBX/Puzzle/01_-_Default.01_-_Default","0","14","2","1","0.000000","0","116"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Arrows.M_LightStage_Arrows","0","4","1","1","3.087140","0","10"
"/Game/StarterContent/Materials/M_AssetPlatform.M_AssetPlatform","0","23","1","1","20.864433","0","281"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","23","1","1","19.882353","0","282"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoat.M_ClearCoat","0","23","1","1","20.557482","0","148"
"/Engine/EditorMeshes/ColorCalibrator/M_ChromeBall.M_ChromeBall","0","37","1","1","31.663275","0","275"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","4","1","1","2.849580","0","10"
"/Game/MSPresets/M_MS_Default_Material/M_MS_Default_Material.M_MS_Default_Material","0","14","1","1","11.946911","0","63"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","56","1","1","62.424572","0","574"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","82","1","1","97.423401","0","1086"
"/Game/Rewind/Maps/Glacier/Material/Ice003.Ice003","0","14","1","1","11.495594","0","64"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","37","3","1","34.496319","0","727"
"/Engine/EditorMeshes/ColorCalibrator/M_GreyBall.M_GreyBall","0","37","5","1","35.745598","0","557"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoatBlack.M_ClearCoatBlack","0","23","1","1","22.703304","0","132"
"/Game/MSPresets/M_MS_Surface_Material/M_MS_Surface_Material.M_MS_Surface_Material","0","37","2","1","34.366894","0","238"
"/Game/MSPresets/M_MS_Default_Fuzz_Material/M_MS_Default_Fuzz_Material.M_MS_Default_Fuzz_Material","0","23","3","1","21.743523","0","122"
"/Game/MSPresets/M_MS_Default_Transmission_Material/M_MS_Default_Transmission_Material.M_MS_Default_Transmission_Material","0","14","1","1","12.474745","0","66"
"/Game/Rewind/shading/CartoonShading.CartoonShading","0","6","4","1","4.719568","0","17"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","37","1","1","35.770782","0","510"
"/Game/Rewind/Maps/Desert/Materials/Ground055S/Ground055S_2K.Ground055S_2K","0","30","1","1","42.848282","44","904"
"/Game/MSPresets/M_MS_Default_Transmission_Material_VT/M_MS_Default_Transmission_Material_VT.M_MS_Default_Transmission_Material_VT","0","14","1","1","15.841668","0","74"
"/Game/MSPresets/M_MS_Surface_Material_VT/M_MS_Surface_Material_VT.M_MS_Surface_Material_VT","0","14","1","1","13.530250","0","82"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","4","1","1","2.834511","0","13"
"/Engine/VREditor/BasicMeshes/M_Floor_01.M_Floor_01","0","23","1","1","21.865980","0","177"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","28","1","1","26.383167","0","216"
"/Game/Rewind/Character/Main_Character/Materials/Material__49.Material__49","0","28","1","1","27.988947","0","340"
"/Game/Rewind/Character/Main_Character/Materials/Sword.Sword","0","14","1","1","12.446241","0","96"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","37","2","1","35.135895","0","456"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","7","1","1","4.745218","0","28"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","6","1","1","7.760087","0","21"
"/ControlRig/M_Manip.M_Manip","0","9","1","1","5.289973","0","53"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","6","1","1","6.688250","0","21"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","9","1","1","5.888777","0","53"
"/Game/Rewind/Character/FireBoss/M_Rampage_Elemental_FireSplines_2.M_Rampage_Elemental_FireSplines_2","0","27","1","1","20.706116","0","225"
"/Game/MSPresets/M_MS_Default_Fuzz_Material_VT/M_MS_Default_Fuzz_Material_VT.M_MS_Default_Fuzz_Material_VT","0","14","1","1","12.919857","0","118"
"/Game/MSPresets/M_MS_SurfaceBlend_Material/M_MS_SurfaceBlend_Material.M_MS_SurfaceBlend_Material","0","14","1","1","17.011312","0","105"
"/Game/MSPresets/M_MS_Glass_Material/M_MS_Glass_Material.M_MS_Glass_Material","0","26","1","1","136.368973","0","228"
"/Game/Rewind/Character/FireBoss/M_RampageCloth.M_RampageCloth","0","80","1","1","85.102356","0","1530"
"/Game/StarterContent/Particles/Materials/M_Radial_Gradient.M_Radial_Gradient","0","20","1","1","13.536098","0","125"
